fic,costat,datafmt,indfmt,consol,gvkey,datadate,conm,city,naics,sic,at,capx,dpact,ppegt,ppent,sale
KOR,A,HIST_STD,FS,C,025256,2017-12-31,MIRAE ASSET SECURITIES CO,Seoul,523150,6211,90626599.3020,,162090.0000,360666.4420,198576.4420,
KOR,A,HIST_STD,FS,C,025256,2018-12-31,MIRAE ASSET SECURITIES CO,Seoul,523150,6211,118085499.4740,,148868.0000,381020.0460,232152.0460,
KOR,A,HIST_STD,FS,C,025256,2019-12-31,MIRAE ASSET SECURITIES CO,Seoul,523150,6211,133149797.3260,,189568.0000,645845.7910,456277.7910,
KOR,A,HIST_STD,FS,C,025256,2020-12-31,MIRAE ASSET SECURITIES CO,Seoul,523150,6211,130946929.9100,,240973.0000,652765.9870,411792.9870,
KOR,A,HIST_STD,FS,C,025256,2021-12-31,MIRAE ASSET SECURITIES CO,Seoul,523150,6211,108641793.3140,,275379.0000,709912.6710,434533.6710,
KOR,A,HIST_STD,FS,C,025256,2022-12-31,MIRAE ASSET SECURITIES CO,Seoul,523150,6211,106213250.6940,,326711.0000,863435.2260,536724.2260,
KOR,A,HIST_STD,FS,C,025256,2023-12-31,MIRAE ASSET SECURITIES CO,Seoul,523150,6211,128177312.0910,,379912.0000,898649.4770,518737.4770,
KOR,A,HIST_STD,FS,C,025257,2012-12-31,KOREA DEVELOPMENT BANK,Seoul,522110,6020,165524624.0000,,793717.0000,2063863.0000,1270146.0000,
KOR,A,HIST_STD,FS,C,025257,2013-12-31,KOREA DEVELOPMENT BANK,Seoul,522110,6020,167724717.0000,,762259.0000,1943812.0000,1181553.0000,
KOR,A,HIST_STD,FS,C,025257,2019-12-31,KOREA DEVELOPMENT BANK,Seoul,522110,6020,217835324.0000,,431157.0000,1264008.0000,832851.0000,
KOR,A,HIST_STD,FS,C,025257,2020-12-31,KOREA DEVELOPMENT BANK,Seoul,522110,6020,251852045.0000,,467082.0000,1278464.0000,811382.0000,
KOR,A,HIST_STD,FS,C,025257,2021-12-31,KOREA DEVELOPMENT BANK,Seoul,522110,6020,333898236.0000,,755132.0000,2175778.0000,1420646.0000,
KOR,A,HIST_STD,FS,C,025257,2022-12-31,KOREA DEVELOPMENT BANK,Seoul,522110,6020,354125127.0000,,704213.0000,1512394.0000,808181.0000,
KOR,I,HIST_STD,FS,C,025258,2012-12-31,KOREA EXCHANGE BANK,Seoul,522110,6020,104001216.0000,,922408.0000,2145369.0000,1222961.0000,
KOR,I,HIST_STD,FS,C,025258,2013-12-31,KOREA EXCHANGE BANK,Seoul,522110,6020,106633815.0000,,931595.0000,2151181.0000,1219586.0000,
KOR,I,HIST_STD,FS,C,025258,2014-12-31,KOREA EXCHANGE BANK,Seoul,522110,6020,112339636.0000,,810464.0000,1976934.0000,1166470.0000,
KOR,I,HIST_STD,FS,C,025258,2015-12-31,KOREA EXCHANGE BANK,Seoul,522110,6020,292404099.0000,,1491889.0000,3983370.0000,2491481.0000,
KOR,I,HIST_STD,FS,C,025258,2016-12-31,KOREA EXCHANGE BANK,Seoul,522110,6020,310784226.0000,,1465978.0000,3767250.0000,2301272.0000,
KOR,I,HIST_STD,FS,C,025258,2017-12-31,KOREA EXCHANGE BANK,Seoul,522110,6020,320797294.0000,,1326028.0000,2961380.0000,1635352.0000,
KOR,I,HIST_STD,FS,C,025258,2018-12-31,KOREA EXCHANGE BANK,Seoul,522110,6020,340252543.0000,,1298434.0000,3160056.0000,1861622.0000,
KOR,I,HIST_STD,FS,C,025258,2019-12-31,KOREA EXCHANGE BANK,Seoul,522110,6020,369537852.0000,,1413373.0000,3640642.0000,2227269.0000,
KOR,I,HIST_STD,FS,C,025258,2020-12-31,KOREA EXCHANGE BANK,Seoul,522110,6020,396187562.0000,,1545295.0000,3727307.0000,2182012.0000,
KOR,I,HIST_STD,FS,C,025258,2021-12-31,KOREA EXCHANGE BANK,Seoul,522110,6020,430193576.0000,,1689804.0000,3694245.0000,2004441.0000,
