city,year,service_share
서울특별시,2014,0.835071257276997
부산광역시,2014,0.673970605312539
대구광역시,2014,0.665611511386124
인천광역시,2014,0.563388812105139
광주광역시,2014,0.608471895327167
대전광역시,2014,0.705132866527463
울산광역시,2014,0.229540759487576
세종특별자치시,2014,0.456610746798684
경기도,2014,0.504213914643674
강원특별자치도,2014,0.67041158408489
충청북도,2014,0.425483907441636
충청남도,2014,0.289746175687527
전북특별자치도,2014,0.514120282326473
전라남도,2014,0.374375360693613
경상북도,2014,0.308099530939217
경상남도,2014,0.429615469682049
제주특별자치도,2014,0.716915903746937
서울특별시,2015,0.833797769968405
부산광역시,2015,0.669680016124581
대구광역시,2015,0.652844459411827
인천광역시,2015,0.563658472662054
광주광역시,2015,0.609447228198576
대전광역시,2015,0.696035338434361
울산광역시,2015,0.241580442914083
세종특별자치시,2015,0.497177650081633
경기도,2015,0.494998507032692
강원특별자치도,2015,0.661785778145268
충청북도,2015,0.406828524449593
충청남도,2015,0.295835961863649
전북특별자치도,2015,0.518608249620397
전라남도,2015,0.387371454866372
경상북도,2015,0.327778693225343
경상남도,2015,0.433566553827922
제주특별자치도,2015,0.709790263561653
서울특별시,2016,0.831715209886937
부산광역시,2016,0.658786443154329
대구광역시,2016,0.649847522639721
인천광역시,2016,0.557961286422468
광주광역시,2016,0.617612590395924
대전광역시,2016,0.690107797185059
울산광역시,2016,0.238813516522035
세종특별자치시,2016,0.521993236611329
경기도,2016,0.489884077540534
강원특별자치도,2016,0.662202564676708
충청북도,2016,0.393473958374237
충청남도,2016,0.294112286096011
전북특별자치도,2016,0.533015736432961
전라남도,2016,0.384811535007928
경상북도,2016,0.341703160689232
경상남도,2016,0.43561391118994
제주특별자치도,2016,0.687970989155898
서울특별시,2017,0.828206451439246
부산광역시,2017,0.680318569073488
대구광역시,2017,0.659104491902923
인천광역시,2017,0.55004034905089
광주광역시,2017,0.620501164279934
대전광역시,2017,0.697307071472797
울산광역시,2017,0.234276452887279
세종특별자치시,2017,0.532394053805761
경기도,2017,0.472787824330725
강원특별자치도,2017,0.660308390677365
충청북도,2017,0.379446007153371
충청남도,2017,0.283067146249628
전북특별자치도,2017,0.535342106811973
전라남도,2017,0.391611006477183
경상북도,2017,0.346092838785217
경상남도,2017,0.447590710293283
제주특별자치도,2017,0.667541315858006
서울특별시,2018,0.829698108468766
부산광역시,2018,0.682034986252286
대구광역시,2018,0.668776555903391
인천광역시,2018,0.568537672898433
광주광역시,2018,0.627583542152001
대전광역시,2018,0.709146684971647
울산광역시,2018,0.242935014241127
세종특별자치시,2018,0.565434158313834
경기도,2018,0.473329046969808
강원특별자치도,2018,0.678006740099785
충청북도,2018,0.376277369659235
충청남도,2018,0.293703404021851
전북특별자치도,2018,0.545407903446644
전라남도,2018,0.412132101518713
경상북도,2018,0.365483701937042
경상남도,2018,0.456739013658069
제주특별자치도,2018,0.703339628258098
서울특별시,2019,0.837079844584508
부산광역시,2019,0.689551883826409
대구광역시,2019,0.674424399039244
인천광역시,2019,0.58513335698627
광주광역시,2019,0.632832320253786
대전광역시,2019,0.703241527372918
울산광역시,2019,0.252219530907048
세종특별자치시,2019,0.592763286339754
경기도,2019,0.493367474224389
강원특별자치도,2019,0.680668503336848
충청북도,2019,0.386337021408749
충청남도,2019,0.312519026830522
전북특별자치도,2019,0.555820787854663
전라남도,2019,0.434736376859639
경상북도,2019,0.389669035088088
경상남도,2019,0.46650562272685
제주특별자치도,2019,0.724196197023715
서울특별시,2020,0.828963045231057
부산광역시,2020,0.690853198848318
대구광역시,2020,0.673736175322588
인천광역시,2020,0.569989471365151
광주광역시,2020,0.619272475776493
대전광역시,2020,0.696316255595148
울산광역시,2020,0.281286627326164
세종특별자치시,2020,0.595179160899455
경기도,2020,0.493262449703355
강원특별자치도,2020,0.671578789799278
충청북도,2020,0.396400962629163
충청남도,2020,0.315479782243798
전북특별자치도,2020,0.55509152152735
전라남도,2020,0.440731532391314
경상북도,2020,0.397429128374807
경상남도,2020,0.477495843667907
제주특별자치도,2020,0.715252285718835
서울특별시,2021,0.83216811503792
부산광역시,2021,0.705857035858747
대구광역시,2021,0.668788207653035
인천광역시,2021,0.566732334452621
광주광역시,2021,0.629214655426847
대전광역시,2021,0.69969562356291
울산광역시,2021,0.263747653086181
세종특별자치시,2021,0.618477522280507
경기도,2021,0.494108105942725
강원특별자치도,2021,0.683661693352046
충청북도,2021,0.396935946034148
충청남도,2021,0.300790796350129
전북특별자치도,2021,0.556419863552385
전라남도,2021,0.423173714681353
경상북도,2021,0.398387454993589
경상남도,2021,0.492800079492617
제주특별자치도,2021,0.730835624267316
서울특별시,2022,0.851604984026012
부산광역시,2022,0.717352753138029
대구광역시,2022,0.659479612862902
인천광역시,2022,0.57991234144911
광주광역시,2022,0.628559387233157
대전광역시,2022,0.713296694890105
울산광역시,2022,0.270425525408104
세종특별자치시,2022,0.624960909864516
경기도,2022,0.505036994880055
강원특별자치도,2022,0.690902996966885
충청북도,2022,0.403985516410182
충청남도,2022,0.312842882814482
전북특별자치도,2022,0.570205742230528
전라남도,2022,0.436344054844181
경상북도,2022,0.415468582054689
경상남도,2022,0.488789850581347
제주특별자치도,2022,0.742198247590131
서울특별시,2023,0.854828296950647
부산광역시,2023,0.708411841081599
대구광역시,2023,0.664320513756335
인천광역시,2023,0.571826999586763
광주광역시,2023,0.632350988513511
대전광역시,2023,0.715302054721882
울산광역시,2023,0.254468461976498
세종특별자치시,2023,0.634320990696579
경기도,2023,0.524707193862943
강원특별자치도,2023,0.686016530494752
충청북도,2023,0.413355882693933
충청남도,2023,0.321095249602531
전북특별자치도,2023,0.576754301507757
전라남도,2023,0.43421237049711
경상북도,2023,0.420158925827161
경상남도,2023,0.472400276424323
제주특별자치도,2023,0.72420696336105
