Point,fintech_value,Marginal Effect,Std. Error,t-stat
P25,2.8475029474999998,-0.021938690875981215,0.03666098352840125,-0.598420685003863
P50,3.34975017,0.011325416077824807,0.03554185177500251,0.31865014095270805
P75,3.9933108185000004,0.053948788162206524,0.036138453760875704,1.4928360941832184
Max,7.372118028,0.2777290289640335,0.06501550340623648,4.271735423298944
